S1,S2,S3
_,r,n
a,i,n
n,r,n
r,a,n
a,t,_
n,i,r
i,a,o
a,r,n
t,a,i
t,_,i
i,a,r
_,a,n
i,r,t
n,_,a
r,_,i
i,r,o
n,o,i
n,a,a
n,o,r
t,r,a
a,t,a
n,i,o
t,_,n
_,r,a
r,i,n
n,r,r
n,a,t
n,_,r
t,_,r
i,a,r
a,r,r
n,o,n
i,a,n
i,_,a
r,a,n
a,t,r
n,r,i
_,t,r
r,i,n
t,_,a
n,r,a
_,r,a
r,t,r
n,a,n
a,r,t
a,_,a
a,r,n
n,i,n
i,t,r
a,i,n
o,r,a
i,r,a
a,t,i
a,r,a
o,r,n
a,r,a
r,r,a
i,a,r
r,_,a
n,a,r
_,r,i
t,i,n
_,i,n
o,a,n
a,i,n
a,t,r
a,_,r
n,a,r
r,t,n
_,a,i
r,a,i
a,r,i
r,_,r
n,i,a
a,a,i
i,r,r
t,r,n
n,o,a
n,i,r
n,t,a
