resp,S1,S2,S3
0,3,2,1
1,1,2,5
0,6,3,2
0,6,4,2
1,3,4,5
0,6,3,1
0,6,5,2
0,4,3,2
1,2,4,5
0,6,5,3
1,2,3,5
1,1,4,5
0,6,5,1
0,6,4,3
0,6,2,1
1,1,3,5
1,1,2,4
0,6,4,1
1,4,5,6
0,4,3,1
