resp,S1,S2,S3
1,6,4,2
1,5,2,1
1,1,3,4
1,5,3,2
1,6,4,1
1,6,3,1
1,6,5,1
1,5,4,2
1,2,5,6
1,6,4,3
1,3,2,1
0,5,3,1
0,2,3,4
0,3,5,6
0,1,4,5
0,4,5,6
0,1,2,6
0,1,2,4
0,5,4,3
0,2,3,6
