resp,S1,S2,S3
0,4,5,6
1,2,3,5
1,6,5,3
0,4,3,1
1,1,2,6
0,5,4,1
0,6,3,2
0,6,4,2
1,1,4,6
0,5,4,2
0,6,4,3
1,1,3,6
1,1,3,5
1,2,5,6
1,1,2,4
0,5,4,3
1,6,5,1
0,4,3,2
1,1,2,3
0,5,2,1
