resp,S1,S2,S3
1,1,4,5
1,1,2,6
0,5,4,3
1,1,3,4
0,5,3,2
1,3,4,6
0,6,5,3
1,2,5,6
0,5,3,1
1,2,4,6
0,4,3,2
0,1,2,3
1,1,4,6
1,1,3,6
1,1,2,5
1,2,4,5
0,6,5,4
0,4,2,1
0,6,3,2
0,6,5,1
