resp,S1,S2,S3
0,2,3,6
1,6,5,1
1,1,2,4
0,2,3,4
1,6,3,1
1,5,2,1
1,6,2,1
0,2,3,5
1,5,4,2
1,6,4,3
1,1,3,4
0,1,3,5
1,5,4,1
0,1,4,6
0,2,4,6
1,6,5,2
1,6,5,3
1,3,4,5
1,1,2,3
0,4,5,6
