resp,S1,S2,S3
1,1,4,5
1,3,5,6
1,3,4,6
1,2,3,6
1,3,4,5
1,1,2,6
0,4,3,1
0,6,5,2
1,3,2,1
1,1,3,6
1,1,5,6
0,4,2,1
0,6,4,2
1,1,3,5
1,1,4,6
0,5,3,2
0,2,3,4
1,4,5,6
0,5,4,2
0,5,2,1
