resp,S1,S2,S3
0,5,4,2
0,2,3,4
1,2,4,6
0,5,4,1
0,1,5,6
1,6,5,2
0,5,3,2
1,1,3,4
0,6,5,4
0,6,5,3
0,6,2,1
1,1,2,3
0,5,4,3
0,6,3,1
0,6,4,3
0,5,2,1
0,5,3,1
1,2,3,6
0,6,4,1
1,1,2,4
