resp,S1,S2,S3
1,2,5,6
1,3,2,1
0,6,4,2
0,4,2,1
0,5,2,1
1,2,3,4
0,5,4,1
0,6,4,1
0,6,5,1
0,6,3,1
1,1,2,6
0,5,3,2
1,2,4,5
0,6,4,3
0,5,4,3
0,5,3,1
0,6,5,3
0,4,3,1
0,6,3,2
0,6,5,4
